"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"885","1 Lincoln St, Boston, MA","348","100 Gulf Street, Shrewsbury","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3378,2692,4238
"885","1 Lincoln St, Boston, MA","349","0 Smith Parkway, Westborough","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3655,2968,4499
"885","1 Lincoln St, Boston, MA","350","0 Morey Way, Milford","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3439,2746,4306
"885","1 Lincoln St, Boston, MA","352","200 Prospect Street, South Easton, Easton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3314,2584,4248
"885","1 Lincoln St, Boston, MA","353","100 Burt Street, Norton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3573,2770,4607
"885","1 Lincoln St, Boston, MA","357","500 County Street, Taunton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3316,2534,4337
"885","1 Lincoln St, Boston, MA","359","100 Colonial Road, North Attleborough Center, North Attleborough","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2954,2338,3730
"885","1 Lincoln St, Boston, MA","360","0 Landsdowne Street, MIT, Cambridge","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1310,956,1794
"885","1 Lincoln St, Boston, MA","361","0 Hayes Street, Riverside, Cambridge","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1296,885,1896
"885","1 Lincoln St, Boston, MA","362","0 Roberts Road, Mid-Cambridge, Cambridge","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1458,1040,2042
"885","1 Lincoln St, Boston, MA","363","0 Channing Street, West Cambridge, Cambridge","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1340,947,1895
"885","1 Lincoln St, Boston, MA","364","0 Richard Avenue, North Cambridge, Cambridge","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2035,1471,2814
"885","1 Lincoln St, Boston, MA","365","100 Palmer Street, Arlington","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1929,1314,2830
"885","1 Lincoln St, Boston, MA","366","0 Eastern Avenue, Arlington","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2384,1786,3181
"885","1 Lincoln St, Boston, MA","367","0 Pleasant Street, Lexington","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2618,2011,3407
"885","1 Lincoln St, Boston, MA","368","0 Hayden Avenue, Lexington","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2439,1795,3314
"885","1 Lincoln St, Boston, MA","369","200 Waltham Street, Lexington","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2511,1876,3360
"885","1 Lincoln St, Boston, MA","370","100 Old Billerica Road, Bedford","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2464,1800,3371
"885","1 Lincoln St, Boston, MA","372","0 Clara Barton Road, North Oxford, Oxford","4/3/2017 - 5/27/2017, Weekdays, PM Peak",4979,3861,6420
"885","1 Lincoln St, Boston, MA","374","0 Connector Road, Westborough","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2976,2159,4100
"885","1 Lincoln St, Boston, MA","375","0 Mason Street, Attleboro","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3179,2467,4094
"885","1 Lincoln St, Boston, MA","377","0 Middlesex Street, Fall River","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3667,3072,4376
"885","1 Lincoln St, Boston, MA","378","Gated Fire Lane, Westport","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3964,3071,5115
"885","1 Lincoln St, Boston, MA","380","0 3 Ponds Road, Wayland","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2588,2089,3206
"885","1 Lincoln St, Boston, MA","385","0 Sandy Pond Road, Lincoln","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2619,1930,3553
"885","1 Lincoln St, Boston, MA","386","800 Sudbury Road, Concord","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3022,2328,3922
"885","1 Lincoln St, Boston, MA","387","0 Hammond Street, Acton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3664,2757,4868
"885","1 Lincoln St, Boston, MA","388","0 Sandy Drive, Acton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3241,2482,4231
"885","1 Lincoln St, Boston, MA","389","0 Captain Forbush Lane, Acton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3297,2670,4070
"885","1 Lincoln St, Boston, MA","391","0 Colonial Way, Weston","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1511,1033,2209
"885","1 Lincoln St, Boston, MA","400","400 Slosberg Music Center, South Street, Brandeis, Waltham","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1692,1214,2357
"885","1 Lincoln St, Boston, MA","401","Cottage Street, North Waltham, Waltham","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2038,1557,2666
"885","1 Lincoln St, Boston, MA","402","100 Edward Road, Watertown","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1469,978,2205
"885","1 Lincoln St, Boston, MA","403","0 Rossmere Street, Newtonville, Newton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1160,759,1771
"885","1 Lincoln St, Boston, MA","404","200 Herrick Road, Newton Centre, Newton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1918,1403,2620
"885","1 Lincoln St, Boston, MA","405","Upper Falls Greenway, Newton Highlands, Newton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1956,1178,3247
"885","1 Lincoln St, Boston, MA","406","100 Oak Street, Natick","4/3/2017 - 5/27/2017, Weekdays, PM Peak",1894,1268,2827
"885","1 Lincoln St, Boston, MA","407","0 Riverbend Drive, Natick","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2839,2218,3632
"885","1 Lincoln St, Boston, MA","408","0 Dudley Road, Framingham","4/3/2017 - 5/27/2017, Weekdays, PM Peak",3093,2681,3567
"885","1 Lincoln St, Boston, MA","409","0 Chouteau Avenue, Framingham","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2059,1420,2984
"885","1 Lincoln St, Boston, MA","412","100 Washington Street, North Easton, Easton","4/3/2017 - 5/27/2017, Weekdays, PM Peak",2783,2090,3705
